ds,yhat,yhat_lower,yhat_upper
2023-01-23,4.805237911653638,2.0199200446907852,7.4166514087836
2023-01-30,4.886029133177431,2.114812799435692,7.465380074627404
2023-02-06,5.132879409225739,2.4752311798064066,7.856497252943188
2023-02-13,5.538450720177017,2.923003835993376,8.429856404013393
2023-02-20,5.756103143501499,3.0658445681284623,8.364143411692561
2023-02-27,5.432741893772739,2.788182686843461,8.165318621697525
2023-03-06,4.627525757939737,1.891439386162618,7.372861070902557
2023-03-13,3.8402867854761413,1.2842874999466316,6.56305999789526
2023-03-20,3.582821721671716,0.6935690865586278,6.47456549839672
2023-03-27,3.9285520120171635,1.0456335717119012,6.456574056858255
2023-04-03,4.500463299362673,1.7262091714377075,7.2514918878088075
2023-04-10,4.8770625473205715,2.074270402371726,7.390557027452466
2023-04-17,4.959945902911392,2.400537458685775,7.735927933231759
2023-04-24,4.937685316492853,2.349055905865786,7.453967387890902
2023-05-01,4.963512406400406,2.3443956420610803,7.670951522647179
2023-05-08,4.965303873042013,2.3194823693720976,7.599691686660845
2023-05-15,4.7971814132758315,2.046008043847557,7.68142088571111
2023-05-22,4.505857654197253,1.6983139378740573,7.230171259784539
2023-05-29,4.351199399395218,1.595189389425083,6.912534947861206
2023-06-05,4.531390270837265,1.8612828729441728,7.117721670406301
2023-06-12,4.929036036946632,2.250870956430893,7.532042453420591
2023-06-19,5.181317047713562,2.438739968926641,8.09921317649073
2023-06-26,5.014424342606868,2.304661050860294,7.888944057473501
2023-07-03,4.498214326257462,1.753941870651377,7.196551788652463
2023-07-10,3.978481426188208,1.2876840381174093,6.830766976656885
2023-07-17,3.7838212272031724,1.2529350897635625,6.535497680590681
2023-07-24,3.9964205839289564,1.352366846321165,6.582951373958385
2023-07-31,4.45425159770751,1.889211032796139,7.090709486137502
2023-08-07,4.91003152462017,2.3143743798663263,7.799079466209103
2023-08-14,5.179619276468114,2.552200045978942,7.797804602976155
2023-08-21,5.203201939433391,2.381695342115949,7.636320669020258
2023-08-28,5.044557079082776,2.3575312957645003,7.755880722456483
2023-09-04,4.8534679366865285,1.9842145834127385,7.749665065834827
2023-09-11,4.782463766028096,2.146013946470035,7.371170084077847
2023-09-18,4.881896255580997,2.087227763814087,7.4812326845648425
2023-09-25,5.058460258460111,2.590117462589854,7.901824144608976
2023-10-02,5.154314586286277,2.5600933179164818,7.671504677085619
2023-10-09,5.083796807775895,2.4378966785499587,7.7905584109803
2023-10-16,4.895800218328213,2.083231958684414,7.659738995036827
2023-10-23,4.711358441864714,2.1473607653962343,7.505277507462978
